"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-28-L85DMKYOYRDL",0,0,2,1,5,11,0,2
"tRF-28-L85DMKYUYRDL",0,0,2,2,5,31,2,6
"tRF-28-L85J3KYUYRD9",1,0,5,1,7,17,1,14
"tRF-28-L87SBRM5R1V",0,0,1,1,1,0,1,2
"tRF-28-L87SBRMR710J",0,0,3,1,1,2,0,0
"tRF-28-L87SHRM591V",0,0,1,0,0,0,1,1
"tRF-28-L87SHRM5R1V",8,5,9,7,15,29,4,18
"tRF-28-L981PV6RRNDL",1,0,0,0,0,0,0,0
"tRF-28-LBINRXURYR0B",0,0,0,0,1,1,0,0
"tRF-28-LBRR33WB08D8",0,0,0,0,0,1,0,0
"tRF-28-LML38BWS7KV",0,0,0,0,0,0,1,0
"tRF-28-LP7SBRX9QVDV",0,1,0,0,0,0,0,0
"tRF-28-LQ947673FE03",0,0,0,0,0,0,0,1
"tRF-28-LQR47673FE03",0,0,0,0,0,0,1,0
"tRF-28-LSM1M3WE8S0D",26,11,25,7,61,84,17,66
"tRF-28-LSM1M3WE8SDV",0,1,0,0,2,8,0,1
"tRF-28-LSN3S3RQJVS",2,2,1,0,2,3,6,1
"tRF-28-LU76D7LYR10J",3,2,2,0,1,2,0,5
"tRF-28-LU76I7LYR10J",1,0,0,0,0,2,1,1
"tRF-28-LU7SH7LYR10J",0,0,1,1,4,6,0,0
"tRF-28-LY76IR69OKV",0,0,1,1,0,3,0,0
"tRF-28-LY7L73HQP0DE",2,1,0,0,0,0,0,1
"tRF-28-LY7SDR696KV",2,2,8,1,18,25,0,10
"tRF-28-LY7SDR69OKV",50,16,63,47,116,218,29,99
"tRF-28-LY7SIR69OKV",240,80,324,306,647,1239,116,496
"tRF-28-LY7SIRF9OKV",1,0,0,0,3,2,2,2
"tRF-28-M0IBB7Z92KU",28,38,16,35,25,53,112,0
"tRF-28-M1M3WD8S74DX",6,8,0,4,1,0,12,2
"tRF-28-M1M3WE8SSPDX",0,1,0,0,0,0,2,0
"tRF-28-M26RRNLNK8D2",0,0,0,0,0,1,0,0
"tRF-28-M2OSRN2NKS8",2,0,0,2,1,1,0,2
"tRF-28-M2OSRNLNKS8",0,1,7,3,9,11,12,25
"tRF-28-M87SBR29N3V",1,0,0,0,0,0,0,0
"tRF-28-M87SDR2SN1V",0,1,0,0,0,1,0,0
"tRF-28-M87SDRJRWMDV",1,0,0,1,2,1,0,0
"tRF-28-M87SFR2W9JDV",23,6,15,17,44,74,4,45
"tRF-28-M8ZLSSXUOLD2",53,103,70,77,49,66,124,65
"tRF-28-MBQ4NKKQBRX",23,61,13,14,31,85,45,7
"tRF-28-MBQ4NKKWBRX",0,1,0,0,0,0,0,0
"tRF-28-ME6KM87SDRD1",0,0,0,1,1,0,0,1
"tRF-28-MEF91SS2PMX",2,0,0,0,0,1,3,0
"tRF-28-MH490VL8K80E",1,1,3,0,4,14,2,4
"tRF-28-MHN90VL8K80E",1,0,0,0,0,1,0,0
"tRF-28-MI7O3B1NR805",1,0,0,0,0,3,2,2
"tRF-28-MIF91SS2P4DX",47,23,14,23,14,28,70,9
"tRF-28-MIF91SS2P4X",27,20,11,9,15,9,32,12
"tRF-28-MIMYSXR3IE03",1,0,0,0,1,0,1,0
"tRF-28-MKYUYRLHR0D2",0,1,0,1,0,0,0,0
"tRF-28-MLHVHBEXBI0O",0,0,0,0,1,0,1,1
"tRF-28-MN1E8Y7Z2RY",0,0,1,0,1,2,0,0
"tRF-28-MP9P9MH57SD3",0,0,0,0,0,0,1,0
"tRF-28-MQ18Y3E7QN00",13,10,1,7,8,3,16,3
"tRF-28-MQ5JK876HRD4",0,0,0,0,0,4,0,0
"tRF-28-MU7SF725RJV",1,1,7,2,1,6,2,4
"tRF-28-MU7SH725RJV",0,0,2,0,4,2,2,1
"tRF-28-MUWLV47PU90M",886,559,398,223,1148,500,1452,386
"tRF-28-MXSL735L8RDV",1,0,0,0,0,0,0,0
"tRF-28-MXSL73VL8RDV",0,1,0,0,0,0,0,0
"tRF-28-MYSXR3IEWS0E",0,0,0,0,0,0,0,1
"tRF-28-N0RR1380870D",0,1,0,0,0,0,0,0
"tRF-28-N1Y6FPZD3K05",0,0,0,0,1,3,0,2
"tRF-28-N24YDRFU8U0E",2,0,0,1,2,3,2,1
"tRF-28-N34S581H930K",0,0,0,0,0,0,1,0
"tRF-28-N3R7184KISD8",5,8,1,3,2,1,6,3
"tRF-28-N3R718YKISD8",151,72,54,21,48,28,112,29
"tRF-28-N3R918VBY9DV",3,1,1,0,1,0,4,4
"tRF-28-N3S3RQJVDE0J",16,12,4,3,15,7,24,0
"tRF-28-N3Z6KPQJ3K05",0,1,0,0,1,1,0,0
"tRF-28-N7S3S3RX8H05",0,0,0,0,0,0,1,0
"tRF-28-NB8PLML38B03",0,0,0,0,1,0,0,0
"tRF-28-NBDWY2MJ8F02",1,1,2,3,1,0,2,1
"tRF-28-NBRRX3WB36DS",0,0,0,0,0,0,0,1
"tRF-28-ND8PHPDJXW0E",0,0,0,0,0,1,0,0
"tRF-28-NJR718YKISD8",1,0,0,0,0,0,0,0
"tRF-28-NKYUHRF8X7D2",0,1,0,0,0,0,0,0
"tRF-28-NMEH623K7SDE",4,0,0,0,0,0,0,0
"tRF-28-NPNNBX1WZ4DZ",0,0,0,0,0,0,1,0
"tRF-28-NRDXEPZY0DDE",0,0,0,1,0,0,0,0
"tRF-28-NS5J7KYUHRV",0,0,0,0,0,0,0,1
"tRF-28-NSRJ7KYUHRV",1,0,0,0,1,4,0,0
"tRF-28-NVORRNLNK8D8",0,0,0,1,0,0,0,0
"tRF-28-NWB162XB0Z0Q",0,0,0,1,0,0,0,0
"tRF-28-NYH2SBUL6J0O",2,0,0,0,0,0,0,0
"tRF-28-NYRVU4727OX",0,0,0,0,0,0,1,0
"tRF-28-O045DBNIB9D0",1,6,6,3,6,10,4,1
"tRF-28-O8Q6J6K6UDV",17,7,2,9,6,5,10,5
"tRF-28-OB1690PQR304",70,36,73,243,38,130,229,106
"tRF-28-OB9ZFH690MV",499,42,43,239,179,68,193,61
"tRF-28-OMJHHS19BM0K",0,0,0,0,0,1,0,0
"tRF-28-OMXF026ZEDDJ",0,0,0,2,0,0,0,0
"tRF-28-OPRN11WZY1V",0,0,0,0,0,0,1,0
"tRF-28-OQIMLWRNLDDJ",0,0,0,1,0,1,0,1
"tRF-28-OR183O9EDJDD",0,1,1,4,0,4,0,1
"tRF-28-ORRNLNK8KDDU",0,0,0,0,0,0,0,1
"tRF-28-OSRNLNKSEKDS",2,0,0,0,0,1,0,1
"tRF-28-OZMEJB5Y130K",1,1,0,0,0,0,0,0
"tRF-28-OZMEJB5YJ30K",0,4,1,0,0,0,2,0
"tRF-28-P0IRJ9ZH0SDZ",0,0,0,0,0,3,0,0
"tRF-28-P21MNKYUPRZ",0,1,0,1,1,1,0,0
"tRF-28-P2PSSELQBD0O",0,0,0,1,0,0,0,0
"tRF-28-P3X1M3WE8SDV",0,1,0,2,3,13,0,8
"tRF-28-P4R8YP9LOND5",601,368,385,841,468,760,1069,986
"tRF-28-P6QP4PW3FJDB",1,0,0,0,0,0,0,1
"tRF-28-PE0IOB9ZFHD9",0,0,0,1,0,0,2,0
"tRF-28-PER8YP9LOND5",15,9,9,6,13,30,15,21
"tRF-28-PIN24YDRFU0J",1,0,0,1,0,0,0,0
"tRF-28-PIR8YP9LOND5",16,23,19,8,17,47,23,31
"tRF-28-PJ60MV9JKLV",0,1,0,0,0,1,0,0
"tRF-28-PLR8YP9LONDQ",1,1,0,0,1,1,2,2
"tRF-28-PN673OPP6N00",1,0,0,1,0,0,0,0
"tRF-28-PNR8YO9LOND5",3,4,2,2,6,8,2,5
"tRF-28-PP6N7KYUSRDD",1,1,0,0,0,1,0,0
"tRF-28-PPZEVKXZFY0O",0,0,0,2,0,0,0,0
"tRF-28-PQ5SVP9N1503",0,2,1,0,2,3,0,1
"tRF-28-PRRN2MK827D2",0,0,1,0,0,0,0,0
"tRF-28-PS5P4PW3FJDD",789,496,190,1666,496,368,331,270
"tRF-28-PSQP4PW3FJD0",660,693,344,777,603,915,502,446
"tRF-28-PSQP4PWEFJD0",1,0,0,0,0,1,1,0
"tRF-28-PSR95933JKR",0,0,0,0,0,0,1,0
"tRF-28-PSR9O9337KR",4,0,0,1,2,0,2,0
"tRF-28-PSR9O933IKR",1,0,0,0,0,0,0,0
"tRF-28-PSSELQBDYBW",0,0,0,3,0,0,0,0
"tRF-28-PV94V4SMIFX",1,0,1,4,3,2,8,4
"tRF-28-PY5P4PW3FJDD",1,2,2,2,0,2,1,0
"tRF-28-PY5P4PZ3FJDD",0,0,1,1,0,0,0,0
"tRF-28-PYRP4PW3FJDD",2,3,1,2,0,1,0,5
"tRF-28-Q0YOY9Q867D2",0,0,0,0,0,0,0,1
"tRF-28-Q1Q89P9L84DF",3,5,13,37,8,7,50,16
"tRF-28-Q622EVUIJVDJ",1,0,0,0,0,0,0,0
"tRF-28-Q6S8V0J8O90O",1,1,0,0,0,0,1,0
"tRF-28-Q86N7KYUSRDD",0,1,2,0,1,0,0,3
"tRF-28-Q89P9L842205",0,0,0,1,0,0,1,0
"tRF-28-Q8YUYSQSD2D2",0,0,0,1,1,0,0,0
"tRF-28-Q99P9P9NH50E",133,232,203,184,145,124,128,168
"tRF-28-QB1MK8YU8SD9",0,0,0,1,0,0,0,0
"tRF-28-QB1MK8YUBSD9",0,1,0,0,0,2,0,5
"tRF-28-QI45LSM1M30K",0,2,1,0,0,1,0,0
"tRF-28-QJ3KYU4RRWDY",6,0,3,0,0,1,2,0
"tRF-28-QJ3KYUYRR6DY",0,0,1,0,1,0,0,0
"tRF-28-QK11M3WE8SDV",9,6,9,15,24,64,6,24
"tRF-28-QKF1M38E8SDV",0,1,0,0,0,1,0,1
"tRF-28-QKF1R38E8RDR",0,3,2,4,2,6,1,0
"tRF-28-QKF1R3WE8RDR",8,7,9,10,14,12,10,24
"tRF-28-QKF1R3WE8RR",0,0,0,0,1,0,0,0
"tRF-28-QNR8VP9LFQ9",2,2,17,11,5,17,25,19
"tRF-28-QNR8ZP9LOND5",0,0,0,0,0,0,0,2
"tRF-28-QO945NB2NZ03",1,0,1,1,0,0,0,0
"tRF-28-QP4PW3FJI0V",0,2,1,0,1,2,0,1
"tRF-28-QP4PW3FJIKW",10,10,1,1,14,13,9,8
"tRF-28-QR535Z8LZB0P",3,3,2,3,0,7,1,3
"tRF-28-QWUID4ZWRN0F",1,0,0,0,0,0,0,0
"tRF-28-R008R959KUD4",4,1,9,0,3,6,3,16
"tRF-28-R008R9D9KUD4",0,0,1,0,0,0,0,0
"tRF-28-R29P4P9L5HDI",3,8,2,2,4,8,0,1
"tRF-28-R29P4P9L5HDM",4,7,2,7,3,21,1,6
"tRF-28-R2Z4R95MKM04",0,0,0,1,0,0,1,0
"tRF-28-R37E14PH5B0Q",2,0,0,0,0,0,1,0
"tRF-28-R3SJ83RPFQ0P",0,1,0,0,0,0,0,0
"tRF-28-R3SJ83RPFV00",1,0,0,1,0,0,0,0
"tRF-28-R47673FEWSD3",0,1,0,0,0,0,0,0
"tRF-28-R4VIJ4S2QH0M",0,0,0,0,0,1,0,0
"tRF-28-R4XLR828FE0Q",0,0,2,0,0,0,0,0
"tRF-28-R7184KISQI05",1,0,1,0,0,0,2,0
"tRF-28-R718YKISQID5",16,6,3,1,4,1,10,1
"tRF-28-R81XDDZZ4YV",4,3,10,10,10,8,16,15
"tRF-28-R8WP9I1EWJDW",2,3,1,5,5,1,3,1
"tRF-28-R8WP9N1EWJDW",33,39,6,9,42,26,20,4
"tRF-28-R9JP9P9NH50D",11,17,17,38,5,12,51,14
"tRF-28-R9JP9P9NH5DD",0,1,1,3,0,1,1,4
"tRF-28-R9JP9PMNH50D",6,9,16,32,2,2,25,8
"tRF-28-RE987S1RJ7DY",4,2,0,5,0,2,1,1
"tRF-28-RLVIJHS2QH0M",0,0,0,0,0,0,1,0
"tRF-28-RLVIJKS2PN0L",0,0,0,0,0,1,1,0
"tRF-28-ROPIN24YDR9",1,0,1,0,0,0,0,0
"tRF-28-ROWFUBNOBZ01",0,0,0,0,0,0,2,2
"tRF-28-RPD9W186L8DS",0,1,0,0,0,0,0,0
"tRF-28-RPD9W1X6L8DS",0,0,0,0,0,0,1,0
"tRF-28-RPM8309MUKDM",0,1,1,0,0,0,0,1
"tRF-28-RR1380877SD9",1,0,0,0,0,1,0,0
"tRF-28-RRJ89O9NF503",2,0,2,0,0,3,5,7
"tRF-28-RS93W0K6MYD9",0,0,0,0,4,0,0,0
"tRF-28-RS9NS334L2DB",0,0,0,2,2,6,4,4
"tRF-28-RSX3WE3628D9",0,1,0,0,0,0,0,0
"tRF-28-RUPLQVNRDF0E",0,2,0,0,0,0,0,0
"tRF-28-RVU4727OFI0Q",0,1,0,1,0,0,0,0
"tRF-28-RW5P7JE2ON0P",0,0,0,0,0,0,1,0
"tRF-28-RWD8YJE76I0P",0,0,0,0,0,0,1,1
"tRF-28-RX6NMH490VDM",0,2,0,0,0,0,0,0
"tRF-28-RXPIN24YDR9",12,5,7,3,18,11,13,5
"tRF-28-RXPIN2NYDR9",1,0,0,0,0,0,1,1
"tRF-28-RXPINKNYDR9",0,0,0,0,0,1,0,0
"tRF-28-RXSINHZ4PV9",0,0,0,1,0,0,0,0
"tRF-28-RZ81JJ6RRNDL",0,0,0,0,0,1,0,0
"tRF-28-RZKSLP7SDR0N",0,0,0,0,0,1,0,0
"tRF-28-S3M8309NDJD7",1,0,0,0,0,0,0,0
"tRF-28-S3SJRX8FYVD5",1,0,0,0,0,0,0,0
"tRF-28-S41M3KYU8RD9",0,0,0,0,0,0,1,0
"tRF-28-S6RN23KYY8D8",0,0,0,0,1,2,0,0
"tRF-28-S79PVOEOU5DH",0,2,0,0,0,0,0,0
"tRF-28-S7RNLJKP9BD2",1,1,0,0,0,0,0,0
"tRF-28-S8V0J8O9YED5",0,1,0,0,0,0,0,0
"tRF-28-S8V0J8O9YEDJ",5,5,2,4,12,28,15,4
"tRF-28-S8V0JUO9YED5",9,7,2,2,5,14,9,1
"tRF-28-S9245J7KYUDD",0,0,0,0,0,1,0,0
"tRF-28-SB325UB1ZZD2",0,0,1,0,0,3,0,0
"tRF-28-SB3B5SM3WBDJ",0,0,0,0,0,2,0,0
"tRF-28-SELQBDYBEZU",0,0,0,0,0,0,1,0
"tRF-28-SR94SX73V205",0,0,2,0,0,0,0,0
"tRF-28-SRI3SERXPIDP",1,0,0,0,0,1,1,1
"tRF-28-SWRNLJK578D8",1,1,0,0,0,2,0,0
"tRF-28-SWRYVMMV5B01",1,0,0,1,3,1,1,0
"tRF-28-SX73V2Y8L902",0,0,0,2,2,1,0,0
"tRF-28-U29F51MLHVDB",0,0,0,0,0,0,1,0
"tRF-28-U4727OFIZ903",0,1,0,2,0,0,0,0
"tRF-28-U47P299DWUDD",2,0,0,1,0,0,1,1
"tRF-28-U5XBINVDRID1",0,0,2,4,0,1,1,3
"tRF-28-U736DFHFNB7",0,0,0,1,1,0,0,0
"tRF-28-UDBDO4I9O9DE",0,0,0,1,0,1,1,1
"tRF-28-UDL0H5RNLDDJ",0,0,1,0,0,0,1,0
"tRF-28-UDL0HVRNLDDJ",0,0,2,0,0,0,1,0
"tRF-28-UDM0IBB7Z9DF",0,0,1,0,1,0,0,0
"tRF-28-UE02K0F78BDV",0,0,0,1,0,0,0,0
"tRF-28-UE4BOPRN1103",0,0,1,2,2,0,1,0
"tRF-28-UEVBWXQZR4DO",1,0,0,0,0,1,0,0
"tRF-28-UHK0SVRNLDDJ",0,0,0,1,0,0,0,0
"tRF-28-UHK0SVRNLMDJ",0,0,0,0,0,0,0,1
"tRF-28-UID4ZWRNU3DJ",0,0,0,0,0,0,1,0
"tRF-28-UJJKIWRNL3DJ",1,2,0,1,0,0,0,0
"tRF-28-UMX0S75NLDD5",0,0,0,0,0,0,0,5
"tRF-28-UMX0SW5NLJD5",0,0,0,0,0,1,0,1
"tRF-28-UMX0SW5NLMD5",0,0,0,1,0,0,0,0
"tRF-28-V29K9UV365DX",33,66,52,160,25,19,157,46
"tRF-28-V2QXBR3XZ7V",0,0,0,1,0,0,0,0
"tRF-28-V2Y8L981PVD9",0,0,0,0,0,1,0,0
"tRF-28-V470JPN1Y69",0,1,0,0,0,0,0,0
"tRF-28-V47P596VW6DK",5,2,0,0,4,2,7,3
"tRF-28-V47PU9XW98DK",1,0,1,0,1,2,0,0
"tRF-28-V47Q2WNIYFDM",0,0,0,0,0,0,1,0
"tRF-28-V47Q2WW18FDM",2,0,0,0,1,0,0,0
"tRF-28-V6Z3M8ZLSS0M",10,10,4,21,5,4,20,1
"tRF-28-V8WPMN1E8Y0E",3,0,2,1,2,4,1,0
"tRF-28-VEX0K3XN13DW",1,0,1,2,0,0,0,0
"tRF-28-VH7P59N3Z6DJ",2,2,1,0,1,1,0,1
"tRF-28-VIJMRPFQJD0Q",0,0,0,0,0,0,1,0
"tRF-28-VIJMRPFQRD03",35,50,6,8,15,5,49,6
"tRF-28-VIPZK0JNORDY",2,1,8,1,3,11,0,5
"tRF-28-VKXZFYYDU30E",0,0,0,0,0,0,0,1
"tRF-28-VLV470VR310N",0,0,0,0,0,1,0,0
"tRF-28-VNZDBQ8BB20B",0,0,0,0,0,0,0,3
"tRF-28-VOH30WUI8O0O",0,0,0,0,0,0,1,0
"tRF-28-VOXS1N70YU0J",0,0,0,0,0,1,0,0
"tRF-28-VP4P9L5FZUDO",2,0,0,0,0,1,0,1
"tRF-28-VP9N15WV7WD9",0,1,0,0,2,2,1,0
"tRF-28-W1X6L85J3K05",0,0,0,0,0,1,0,1
"tRF-28-W3FJI0E7UM02",0,0,0,1,0,0,0,0
"tRF-28-W419518FMKD1",0,0,1,2,0,1,1,1
"tRF-28-W4195R8FMKD1",0,0,0,1,0,0,1,0
"tRF-28-W47W1R7HFEV",130,66,242,71,195,190,394,317
"tRF-28-W4R951KHZKDM",43,19,43,43,94,200,14,79
"tRF-28-W631QJ3KYU05",0,0,0,0,0,0,1,0
"tRF-28-W6RERNLN4QZ",0,0,2,0,1,0,4,0
"tRF-28-W8E7OMJHHSZ",11,13,7,7,9,5,11,8
"tRF-28-W8EZOMJHHSZ",0,0,0,0,0,0,0,1
"tRF-28-WE6MODJRWV01",6,1,2,6,14,24,3,2
"tRF-28-WE6WRNLEK5DM",0,0,0,1,0,0,0,0
"tRF-28-WH195RWIRJD5",1,0,4,1,5,2,1,1
"tRF-28-WH19BMWIRJD5",6,0,3,8,12,21,2,9
"tRF-28-WH19D9WIRJD5",1,0,1,0,2,13,0,2
"tRF-28-WHR95R3LMJD1",7,0,8,3,4,15,3,4
"tRF-28-WHR9O13LMJD1",0,0,1,0,1,0,0,1
"tRF-28-WIR959MIL0DR",21,4,17,27,18,68,13,37
"tRF-28-WIR9OMMIL0DR",6,2,5,6,5,8,1,6
"tRF-28-WIR9OMMIM0DR",0,1,2,1,4,1,1,1
"tRF-28-WJ9X0UD3940E",0,0,0,0,0,1,0,0
"tRF-28-WJQ72S3HPSDZ",0,0,0,0,1,0,0,0
"tRF-28-WJQZ2S3HPSDZ",0,0,0,0,0,0,0,1
"tRF-28-WK6WRNLEK5DM",0,0,0,1,0,0,0,0
"tRF-28-WLV47PU9XW0N",0,0,1,2,0,0,0,0
"tRF-28-WNR71KVUY9DZ",1,0,0,0,0,0,0,0
"tRF-28-WOFFR3VJ4Z0Q",2,0,1,0,2,0,4,0
"tRF-28-WOYO1N7KYU0D",0,0,0,0,0,1,0,0
"tRF-28-WP7SER9I69DV",129,31,160,100,285,560,62,276
"tRF-28-WPMN1E8Y7ZD1",0,1,0,0,0,0,0,0
"tRF-28-WS3V2VR0PSDZ",0,3,4,0,3,3,0,2
"tRF-28-WU1M70YUP9U",1,1,0,0,0,0,0,0
"tRF-28-WU2F5JYH0R0O",0,3,0,1,1,0,2,0
"tRF-28-WXHR13M87S9",0,0,0,1,0,0,0,0
"tRF-28-WXQZR44ER8Z",0,0,2,1,0,0,0,0
"tRF-28-WYL1M3WE8SD9",0,0,0,0,1,2,0,1
"tRF-28-WYUDM0IBB70Q",0,0,2,0,0,0,0,0
"tRF-28-X4J09KZYJMDQ",0,0,0,0,0,0,0,1
"tRF-28-X5Q4R9OMKMD5",0,0,0,0,0,2,0,0
"tRF-28-X6L85J3KYU05",0,1,0,0,0,0,0,0
"tRF-28-X6XMSL73VLD5",0,0,0,0,1,0,0,0
"tRF-28-XBDMI2669K0P",0,0,0,1,0,0,0,0
"tRF-28-XBINVDRI2QD1",5,2,1,10,0,0,3,1
"tRF-28-XEKJ5R5N2ED5",1,0,0,0,1,0,0,0
"tRF-28-XENDBP1IUUDJ",10,13,9,34,7,20,11,10
"tRF-28-XF026ZEDKZDE",0,0,2,0,0,0,0,0
"tRF-28-XIW282FN5K05",3,0,0,1,0,0,0,0
"tRF-28-XIW282FNPK05",0,0,0,0,1,0,0,0
"tRF-28-XK7S1RNS9MDV",26,3,26,16,34,64,5,25
"tRF-28-XK7SDRNS9NDV",1,0,0,0,0,1,0,0
"tRF-28-XL5LDOV2QXR",0,0,0,0,0,0,1,1
"tRF-28-XMSL73VL4YDN",0,1,1,0,2,1,0,0
"tRF-28-XN13QXQWUIS",0,0,0,0,1,0,0,0
"tRF-28-XO59KNNVORDY",0,0,1,0,2,2,0,1
"tRF-28-XP18RZXP8ZV",1,1,0,0,0,1,5,0
"tRF-28-XP7S1RXSMMDV",4,2,5,6,8,17,7,16
"tRF-28-XS1N70YUP9V",0,0,0,1,0,0,0,0
"tRF-28-XSXMSL73VLD5",25,13,16,18,16,13,17,24
"tRF-28-XU53K876DRD4",0,0,0,0,0,1,0,0
"tRF-28-XW7616MSRMV",2,1,0,1,4,6,0,5
"tRF-28-XW76D6MSRMV",0,1,1,1,0,1,0,2
"tRF-28-XXI363U0EZ05",0,0,0,0,0,0,0,2
"tRF-28-XY6RHDK2RSD0",0,0,1,0,0,0,0,0
"tRF-28-Y5KKM1M3WD0J",0,0,0,0,0,1,0,0
"tRF-28-Y694U47P2904",9,8,0,5,0,2,9,0
"tRF-28-Y6IO43ZU2F05",0,0,0,0,0,0,1,0
"tRF-28-Y6R9O9NJ9IDM",0,2,1,0,1,0,0,0
"tRF-28-Y6V4V47Q2WDP",0,0,1,0,0,0,0,0
"tRF-28-Y7RZ81JJ6RDY",0,0,0,0,2,0,1,0
"tRF-28-Y8L981PV6RDY",0,0,0,2,0,0,0,0
"tRF-28-Y8RH93WB86DK",0,0,0,0,1,0,0,1
"tRF-28-Y91293WEW60H",1,0,0,0,0,0,0,0
"tRF-28-Y9PYKHM26RDY",0,0,2,0,0,0,1,2
"tRF-28-YDU37Y93Y00J",0,0,0,1,1,1,3,0
"tRF-28-YEKPRS93W0DJ",0,0,1,0,0,0,0,0
"tRF-28-YKISQI45LSD4",0,0,0,0,2,0,0,0
"tRF-28-YPZEP27K7ZDU",1,3,0,7,2,1,1,0
"tRF-28-YQHQ9M739P0J",0,1,0,4,1,0,6,0
"tRF-28-YS56O2Z0R9DS",0,0,0,0,0,0,1,0
"tRF-28-YSR95M3J63DM",4,0,13,11,10,24,3,10
"tRF-28-YSV4V4SQ2W0K",0,0,0,0,0,0,0,1
"tRF-28-YVI4XK8SR97",0,0,0,1,0,0,0,0
"tRF-28-YXR9O9NJ9IDM",1,1,0,0,0,1,1,0
"tRF-28-YYS9ME6KM80E",1,0,0,0,0,0,0,0
"tRF-28-YYV4V47Q2W0K",0,1,0,0,0,0,0,0
"tRF-28-Z0R95M3973DM",0,0,0,0,0,2,0,0
"tRF-28-Z34KRQ59W30P",0,0,0,0,1,0,1,0
"tRF-28-Z34KRQ59WI0K",1,0,0,0,0,1,0,0
"tRF-28-Z34KRQ59WI0P",1,0,1,0,0,0,3,0
"tRF-28-Z3M8ZLSSXUD6",10,4,17,22,6,16,56,18
"tRF-28-Z3R9512R120M",1,0,0,0,0,0,0,0
"tRF-28-Z3R9512R12DM",77,39,97,55,236,431,26,122
"tRF-28-Z3R951JR12DM",0,0,1,0,0,1,1,0
"tRF-28-Z3R95R2R12DM",7,2,16,14,37,57,4,37
"tRF-28-Z3R9D8VBY9DV",0,0,0,0,0,1,1,0
"tRF-28-Z3RZ18VBY9DV",1,0,0,1,1,0,0,93
"tRF-28-Z419518190D1",1,0,2,2,1,4,0,0
"tRF-28-Z4195R8190D1",0,0,0,1,1,0,1,1
"tRF-28-Z4R95MK1F3DM",1,0,0,1,3,2,0,2
"tRF-28-Z4R9OMK1F3DM",0,0,0,0,0,1,0,1
"tRF-28-Z4RZDMKNR79",0,2,0,0,0,0,0,0
"tRF-28-Z6EXEY0VWUD2",47,57,17,65,15,21,160,9
"tRF-28-Z6V6Z3M8ZL0D",0,0,0,4,4,0,3,0
"tRF-28-Z87ID890YBDR",0,0,0,1,0,0,0,0
"tRF-28-Z8XO46DODLD2",0,1,0,1,0,0,0,0
"tRF-28-Z9HMI8W47WZ",1,0,1,1,0,0,6,0
"tRF-28-ZD3KYUYR668",0,0,0,0,0,1,0,0
"tRF-28-ZDXPHO53KS0E",0,0,0,0,0,0,2,0
"tRF-28-ZEP27K7ZP3D3",1,0,0,0,0,0,3,2
"tRF-28-ZEVKXZFYYD0F",1,2,0,0,2,3,2,1
"tRF-28-ZH99BMEMR3D1",0,0,0,0,0,1,0,0
"tRF-28-ZH99DMEMR3D1",2,0,0,1,1,1,2,3
"tRF-28-ZJ47D112Z4DZ",0,0,0,0,0,0,0,1
"tRF-28-ZKXXI363U0W",1,1,5,0,4,3,5,1
"tRF-28-ZLBS5EOB3Z05",0,22,28,149,37,16,44,0
"tRF-28-ZO0BEBXNWD02",0,0,0,0,0,0,2,0
"tRF-28-ZPVOH30WUI0J",0,0,0,0,0,0,2,0
"tRF-28-ZR3HJ3WB8YDK",0,0,0,0,0,1,0,0
"tRF-28-ZRS3S3R68H05",1,0,0,0,2,1,4,1
"tRF-28-ZRS3S3RX8H0Q",1,1,1,0,0,0,2,1
"tRF-28-ZUV0UEDP5I0F",0,0,0,0,1,0,0,0
"tRF-28-ZY0DI6BB5LD2",0,0,0,0,0,0,1,0
"tRF-28-ZY7FERBLB3V",1,0,0,0,1,0,0,0
"tRF-29-00BY4D84KRFN",3,0,0,2,1,0,0,0
"tRF-29-026ZEDKZIX1J",3,1,1,3,4,0,2,1
"tRF-29-04SXQ3V2Y72E",40,26,12,26,58,20,26,11
"tRF-29-0668K87SER1Z",1,4,3,2,2,6,0,2
"tRF-29-06R8K87SER1Z",0,0,1,0,0,0,0,0
"tRF-29-08F4BDNZ8OIR",0,60,49,144,63,25,123,0
"tRF-29-08R959KUMKEV",3,1,2,0,1,1,1,3
"tRF-29-08R9D9KUMKEV",1,1,1,1,0,0,2,0
"tRF-29-0IOB9ZFH69EI",6,0,0,8,0,2,4,0
"tRF-29-0KFMNKYUHRE8",2,0,1,0,6,11,0,4
"tRF-29-0PNYRKYUY7J3",2,0,2,3,0,4,2,5
"tRF-29-0VL8K87SIR19",2,0,0,1,10,11,2,2
"tRF-29-0VL8K87SIR1Z",4,2,10,3,20,54,4,27
"tRF-29-10H7RNLEKP1Y",0,0,0,0,0,3,0,1
"tRF-29-113KYO8R65HJ",0,0,0,0,0,0,0,1
"tRF-29-12Z4R95MK1JY",0,0,0,0,0,0,1,0
"tRF-29-12Z4R95MKMJY",3,3,1,3,1,2,2,0
"tRF-29-13M87SFR2WJY",2,0,0,0,0,0,0,1
"tRF-29-148V7KYUPRE5",0,0,0,0,1,0,0,0
