"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-16-4ZUPX1B",2,2,1,5,3,0,3,0
"tRF-16-50SJRED",7,15,5,5,6,0,13,4
"tRF-16-50SRRND",26,9,5,23,5,1,50,4
"tRF-16-51K36DD",0,0,0,0,0,1,0,0
"tRF-16-51MLHVB",0,0,0,0,0,0,4,0
"tRF-16-54QFQ2B",0,0,0,0,0,0,1,0
"tRF-16-54RNZF0",1,0,1,0,0,0,0,0
"tRF-16-593J2HD",1,0,0,0,0,0,0,1
"tRF-16-593KMHD",1,0,0,0,1,4,0,2
"tRF-16-593UMKB",0,0,0,0,0,1,0,0
"tRF-16-596VW6D",1,0,0,0,2,1,5,1
"tRF-16-596VZ6D",0,0,0,1,0,0,0,0
"tRF-16-59MEJB0",0,0,0,1,0,0,0,0
"tRF-16-59MIL00",1,0,0,0,0,0,0,0
"tRF-16-59V3WDE",0,1,0,0,0,2,0,0
"tRF-16-59WIWKE",0,0,1,0,0,0,0,0
"tRF-16-5DMKYUE",1,2,0,1,0,0,0,0
"tRF-16-5E387SB",0,0,0,0,0,1,1,0
"tRF-16-5IUDK7E",0,0,0,0,0,0,0,1
"tRF-16-5JYH0RE",0,0,0,0,0,0,2,0
"tRF-16-5L8RPYE",10,4,16,33,35,76,16,42
"tRF-16-5M3J63D",0,0,0,0,0,0,2,0
"tRF-16-5MN1Q3D",0,0,0,1,0,0,0,0
"tRF-16-5NLM4VE",0,0,0,0,1,0,0,0
"tRF-16-5P7JE20",0,0,1,0,0,0,0,0
"tRF-16-5R3J09D",0,0,0,0,0,0,1,0
"tRF-16-5R5NL3D",2,0,0,0,0,0,0,0
"tRF-16-5XR4NPD",0,1,1,0,0,1,0,0
"tRF-16-5Y13W0E",0,1,0,0,0,0,0,0
"tRF-16-5Y13WBE",1,0,0,0,0,0,1,0
"tRF-16-5Y93W0E",0,0,0,3,1,0,0,0
"tRF-16-628YR90",3,1,1,0,0,1,4,0
"tRF-16-64VIJ40",0,0,0,0,1,0,0,0
"tRF-16-69JMW90",0,0,0,0,0,0,1,0
"tRF-16-69M8LOE",6,0,4,1,4,0,4,3
"tRF-16-69M8NPD",1,0,0,3,0,0,1,0
"tRF-16-6KEWFMD",0,0,0,1,0,0,0,0
"tRF-16-6NMH49B",1,3,0,0,2,3,1,0
"tRF-16-6RRNLID",1,0,0,0,2,1,0,1
"tRF-16-6RRNLND",0,0,0,1,0,0,1,0
"tRF-16-6VM8NPD",0,0,0,0,0,0,1,0
"tRF-16-6VR8K0E",0,0,1,0,0,0,1,0
"tRF-16-6XQ6S8E",2,1,0,1,0,1,0,0
"tRF-16-6YYDLB0",0,0,0,0,0,0,1,0
"tRF-16-6ZEDKZB",2,0,0,0,0,0,0,0
"tRF-16-701M3KE",0,0,0,0,0,0,1,0
"tRF-16-70SRRND",3,1,0,0,0,0,0,1
"tRF-16-70VR31E",0,0,0,0,0,1,0,0
"tRF-16-739P8W0",18,15,17,22,15,25,54,24
"tRF-16-73FJP4D",0,0,0,1,0,0,0,0
"tRF-16-73FJQ4D",8,2,8,0,5,26,1,7
"tRF-16-73FJQSD",0,0,0,0,0,0,0,4
"tRF-16-73IEWSD",2,14,3,4,1,0,2,2
"tRF-16-74113KE",0,0,0,0,0,0,1,0
"tRF-16-7616MS0",0,0,0,0,1,0,1,0
"tRF-16-769RNND",1,0,0,0,0,0,0,0
"tRF-16-76D6MS0",0,0,0,0,0,0,0,1
"tRF-16-76DRMD0",3,7,3,5,0,3,2,1
"tRF-16-76IR3D0",0,0,1,0,0,1,0,0
"tRF-16-789NLJD",1,0,0,0,0,0,0,1
"tRF-16-78Y2Q4D",0,0,0,0,1,0,0,0
"tRF-16-79KV0KE",0,0,0,0,0,0,2,0
"tRF-16-79KVPKE",0,1,0,2,0,0,2,0
"tRF-16-79MP9PD",79,93,67,182,60,63,107,53
"tRF-16-7JV2Y8E",3,3,1,1,2,3,9,2
"tRF-16-7P596VE",46,41,7,19,42,16,42,14
"tRF-16-7PU9XWE",13,2,2,5,21,9,9,9
"tRF-16-7RH3SJ0",0,0,0,0,1,0,0,0
"tRF-16-7RRNL3D",0,0,0,0,2,0,0,0
"tRF-16-7S1R270",0,1,0,0,0,0,0,0
"tRF-16-7S1R2R0",1,0,0,0,0,0,0,0
"tRF-16-7S1RJ70",5,8,0,3,0,0,2,0
"tRF-16-7S1RNSE",2,0,0,0,0,0,0,0
"tRF-16-7S1RXSD",0,0,0,2,0,0,1,0
"tRF-16-7SB1RH0",1,0,0,0,0,0,0,0
"tRF-16-7SB7J00",1,0,0,1,0,0,0,0
"tRF-16-7SBRX90",0,0,0,1,0,0,0,0
"tRF-16-7SDR690",0,0,0,0,1,0,0,0
"tRF-16-7SDR9S0",0,1,0,0,0,0,0,0
"tRF-16-7SDRJRE",0,0,0,0,1,0,0,0
"tRF-16-7SERM4E",5,2,3,0,2,2,2,2
"tRF-16-7SF7250",0,1,0,0,0,0,0,0
"tRF-16-7SF7270",0,0,0,0,0,2,0,0
"tRF-16-7SFR2WE",0,1,0,0,0,0,0,0
"tRF-16-7SFRJ40",0,2,0,0,0,0,1,0
"tRF-16-7SHRRH0",0,0,1,0,0,0,0,1
"tRF-16-7SHRRNE",0,0,0,0,0,1,0,0
"tRF-16-7SI7JPE",2,0,0,0,0,0,3,0
"tRF-16-7SIR3D0",0,0,0,0,0,0,1,0
"tRF-16-7SIRM1B",0,3,1,1,0,1,1,3
"tRF-16-7SIRM1D",0,0,1,0,0,0,0,0
"tRF-16-7SIRM3B",0,0,0,0,0,0,0,1
"tRF-16-7UK87SB",0,0,0,1,0,0,0,0
"tRF-16-7V7N2ED",0,0,0,0,0,2,0,0
"tRF-16-7W5NLJD",0,0,0,0,0,1,0,0
"tRF-16-7W5NLMD",0,0,0,0,0,1,1,0
"tRF-16-7Z2R1H0",0,0,0,0,0,2,0,0
"tRF-16-808HWK0",0,0,0,0,0,0,0,2
"tRF-16-81JJ6R0",0,0,0,1,0,0,0,0
"tRF-16-86KP6HD",0,0,0,1,0,1,0,0
"tRF-16-86S2P9D",4,3,1,0,6,1,4,4
"tRF-16-88481DD",15,12,6,16,5,30,32,60
"tRF-16-884U1DD",231,190,91,88,233,141,280,142
"tRF-16-8871K9D",84,156,222,80,120,732,188,387
"tRF-16-88I26W0",137,15,16,17,9,1,123,12
"tRF-16-89Q867D",1,0,1,1,0,1,0,1
"tRF-16-8B8HWK0",0,0,0,0,0,0,1,0
"tRF-16-8B8SOU0",1,2,0,2,1,2,0,0
"tRF-16-8BWS72B",1,0,0,0,0,0,0,0
"tRF-16-8HWVZ5B",2,0,0,0,0,0,0,0
